datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-06-01 21:30:00,83.9,85.12,0.0,46.5215799890351,False,0.0,0.0,0.962500000000001,0.0
2024-06-01 21:45:00,60.09,85.12,-15.0225,46.5215799890351,False,-1.0,-0.25,0.962500000000001,-15.0225
2024-06-01 22:00:00,109.92,85.12,26.105999999999998,46.5215799890351,False,1.0,0.2375,1.2,26.105999999999998
2024-06-01 22:15:00,90.31,85.12,21.448625,46.5215799890351,False,1.0,0.2375,0.950000000000001,21.448625
2024-06-01 22:30:00,79.6,85.12,-6.284210526315739,46.5215799890351,False,-0.315789473684208,-0.078947368421052,0.700000000000001,-6.284210526315739
2024-06-01 22:45:00,45.08,85.12,-11.27,46.5215799890351,False,-1.0,-0.25,0.775,-11.27
2024-06-01 23:00:00,94.71,85.12,22.493624999999998,46.5215799890351,False,1.0,0.2375,1.0125,22.493624999999998
2024-06-01 23:15:00,85.8,85.12,0.0,46.5215799890351,False,0.0,0.0,0.7625,0.0
2024-06-01 23:30:00,72.3,85.12,-18.075,46.5215799890351,False,-1.0,-0.25,0.7625,-18.075
2024-06-01 23:45:00,37.59,85.12,8.927625,46.5215799890351,False,1.0,0.2375,1.0,8.927625
2024-06-02 00:00:00,78.2,27.85,18.5725,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 00:15:00,64.7,27.85,15.366249999999999,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 00:30:00,54.4,27.85,11.628,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 00:45:00,43.25,27.85,-10.8125,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 01:00:00,66.2,27.85,15.7225,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 01:15:00,57.3,27.85,13.608749999999999,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 01:30:00,50.9,27.85,0.0,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 01:45:00,31.16,27.85,-7.79,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 02:00:00,59.9,27.85,14.226249999999999,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 02:15:00,52.3,27.85,0.0,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 02:30:00,35.77,27.85,0.0,77.42640882675438,True,,,1.0,4.839150551672149
2024-06-02 02:45:00,20.1,27.85,-5.025,77.42640882675438,True,,,1.0,4.839150551672149
